FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,4480.6826762470973,109.36725237515596,,,0.22505428817090273,0.00292705,948.23775649635058,13.789850873351098,938.36612418097548,13.763558648228646,,,,,640.30860414725339,0.579162,609.01538744904087,0.572934,0.0,,0.082881449892558579,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.5
",4463.34585131,,,,False
2,,9844.3497260758395,109.31676563919706,,,0.50378706981702337,0.00298681,935.29334966658325,6.1854793980717657,933.73758386608768,6.2234473299980166,,,,,640.21165206339504,0.260423,607.83771323749363,0.259918,0.0,,0.083799409870839517,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1
",9811.0115103,,,,False
3,,16776.389307385893,122.21230620248511,,,0.76507702074019668,0.00293224,962.55904089270564,4.19931803740561,1018.1192039758223,4.4781486453115944,,,,,625.96246575955092,0.173179,613.90822377652501,0.183061,0.0,,0.087068755771579007,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"2
",16676.1111499,,,,False
4,,25311.950562960348,118.52556126005572,,,1.1609695959393274,0.00286206,957.14894793565975,2.6835314223915341,1018.0237501199459,2.8773766373097898,,,,,624.47489800664744,0.110774,612.21900929083483,0.117738,0.0,,0.084742405588104572,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"3
",25162.3315546,,,,False
5,,31612.139404299785,132.52867047482823,,,1.4271366327657813,0.00314231,965.5039804855096,2.425196894221008,1025.3377211420125,2.5976162419840692,,,,,625.77178633594883,0.099794,612.68629118765557,0.105907,0.0,,0.093773720195327953,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"4
",31418.4971333,,,,False
6,,35950.003884559708,132.03887638075472,,,1.6382094938587466,0.00316433,970.37120346275901,2.1334597966074944,1010.7046698419515,2.2429836164787411,,,,,627.37031035881739,0.0879913,611.94007702214799,0.0915903,0.0,,0.094001506303966892,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"6
",35740.0048142,,,,False
7,,48219.650637206345,154.14047063437417,,,2.1969505904922744,0.00369269,970.77666220727178,1.8575390760228039,1010.4553128202173,1.9520275529846549,,,,,627.57176107638236,0.0766018,611.09880277483137,0.079682,0.0,,0.10970949968004318,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"10
",47941.4182064,,,,False
8,,44741.770822234044,148.09133381615351,,,2.0518768414961768,0.00357422,968.40148712806672,1.918126390390098,1006.3269431157205,2.0121445024386047,,,,,628.15449299247825,0.0791948,611.11080574092239,0.0822482,0.0,,0.10585269532943552,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"15
",44493.7315924,,,,False
9,,51075.161223289891,154.2276852221386,,,2.2863828033382987,0.00362054,978.82930736809897,1.7706154497340321,1019.9679049644664,1.8636176623776555,,,,,629.13520496480203,0.0727586,611.88880201592815,0.0757703,0.0,,0.1085082344058612,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"20
",50766.8438893,,,,False
10,,47684.710964522863,150.86355763659466,,,2.1631846828836934,0.00359426,968.35822068347034,1.8347452494129539,1017.3776221245447,1.9460392018407584,,,,,629.34663933028196,0.0755359,610.45736121573213,0.0793185,0.0,,0.10703097191837953,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"25
",47425.0065151,,,,False
11,,43745.443179776215,146.72224261728607,,,2.0139189820763019,0.00355588,967.27896214797977,1.9409842855855823,1003.6256502172934,2.0334682404622435,,,,,628.70129816635074,0.0801836,609.72418929837966,0.0831503,0.0,,0.10511570259527142,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,30,43512.7598736,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
