FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,5198.1497923227398,100.44528573824714,,,0.23995552419695051,0.00244432,975.70264835036494,11.272896822094918,992.27768077730025,11.577660300135612,,,,,627.08407748557192,0.466604,611.94108586147752,0.474185,0.0,,0.072141649735081817,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.2
",5167.21682687,,,,False
2,,8450.7245427881935,115.33420007078962,,,0.3850652461301633,0.00276193,958.51616517578691,7.8358994852006436,1023.2761454998262,8.4372846561670301,,,,,626.81996097849208,0.322767,610.57614503986781,0.344383,0.0,,0.08206140407290867,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0
",8404.45437993,,,,False
3,,16696.727310162183,107.82241304250255,,,0.76059866898102124,0.00258306,973.19374270214939,3.7610448248684407,1008.1128591906299,3.9346082092076542,,,,,626.01936606209495,0.15516,609.97120527677271,0.160602,0.0,,0.076738728940568213,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.2
",16595.5449138,,,,False
4,,29601.491894510804,118.73926826564008,,,1.3431056412511322,0.00283215,977.84133116629994,2.3474077989533542,1007.3205772978033,2.4428073502331973,,,,,626.22672211673512,0.0967965,610.4157768533745,0.0996338,0.0,,0.084300060591562323,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.4
",29416.5344838,,,,False
5,,46061.870608570789,149.02372448032699,,,2.044636898765896,0.00346372,975.10551718248234,1.8914491194114089,1032.5389239851334,2.021969039440155,,,,,628.57408282448864,0.0775381,612.06173240919418,0.0820572,0.0,,0.10424405555920552,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.6
",45780.5824369,,,,False
6,,27954.919704027419,131.03523803100751,,,1.2286940450818746,0.00301203,988.91703911624393,2.7785882701724769,1028.2229780287735,2.9204992358386517,,,,,629.23474594771244,0.113784,611.67460426887203,0.118224,0.0,,0.091082377598567701,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.8
",27771.8268049,,,,False
7,,16562.895235556432,134.82273989542702,,,0.74009431448261287,0.00315891,987.02101150820499,4.8108685458451506,1013.3406347871362,4.993745662942529,,,,,629.35142070801658,0.197754,610.84732298843448,0.202886,0.0,,0.094751133307471147,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1
",16459.6119404,,,,False
8,,8883.3099064744456,134.54810920215695,,,0.39842452720402516,0.00316674,985.78873779892149,8.9395049777626987,1010.8287003411651,9.2642692726850502,,,,,630.01223982475449,0.367785,612.45879641170677,0.376885,0.0,,0.094812475929322279,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,1.2,8828.43744745,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
