FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,4094.4070862401463,946.89271463917555,,,0.020431186316476422,0.00188571,1999.2899634926164,234.86610756397246,4479.7555816536442,790.83424312591558,,,,,645.82635230250276,3.8439,587.28733041519899,13.9762,0.0,,0.061201602969036553,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.6
",2207.18656428,,,,False
2,,3753.1263224883901,787.85632822421803,,,0.024520631428037665,0.00249372,2389.2309405922233,311.04472665309908,2863.0970636357433,370.82700465202333,,,,,650.45037851026552,4.37452,626.66416411048442,6.54243,0.0,,0.064389167170873368,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.5
",2600.03283368,,,,False
3,,3047.4851722094413,390.0590276116921,,,0.030392358550109286,0.00162229,2234.597462114451,181.84910682678222,2005.4441190474199,166.71296563625336,,,,,658.0369697752792,3.79047,619.08621695147474,3.50415,0.0,,0.065241246765773586,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.4
",2568.09762077,,,,False
4,,7182.6709481865546,931.20601472297756,,,0.044423277970765618,0.00297455,2433.5249981575957,196.5676375579834,2969.4240835338373,226.14470093250276,,,,,653.55136131026939,2.34746,582.56415822194515,3.30756,0.0,,0.063144960067017072,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.3
",4923.08466663,,,,False
5,,3724.2760454770023,305.99270104781584,,,0.043840090557169732,0.00147355,2259.4584416532352,117.63533289670944,1680.3460618746828,90.647929365634923,,,,,652.5204672523156,2.973,611.53162167906146,2.13198,0.0,,0.067002861099650729,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.2
",3285.73760795,,,,False
6,,6140.508578134155,374.67173150807139,,,0.064558132377141517,0.00162335,2270.5117913755921,89.169140138626105,1872.2433290452873,73.671296893358232,,,,,653.35517725283933,1.88204,590.22368117834901,1.50609,0.0,,0.065551813964294312,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.1
",5304.53747429,,,,False
7,,9981.4892075010557,505.2273324059974,,,0.091581503741377621,0.00200398,2426.7149124710181,77.577323852777482,2007.2500688443245,65.389783902168276,,,,,657.17198585593349,1.46044,609.49976196603268,1.18893,0.0,,0.070606265713673039,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0
",8233.50065727,,,,False
8,,10321.544969530858,422.13279933509375,,,0.099389810596082609,0.00171982,2338.5286333785716,60.761829582452776,1984.6906484130386,52.439830319881438,,,,,655.70718382895222,1.21664,613.14998073438699,1.02972,0.0,,0.065460767618984089,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.1
",8632.02031957,,,,False
9,,12611.675685307195,330.18307191097773,,,0.14621926571669774,0.00155792,2109.8299936252533,35.642112861871716,1827.0624945707063,30.926720781326296,,,,,654.35800400341668,0.834225,609.24089290350014,0.719281,0.0,,0.06909608734194482,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.2
",11163.7325596,,,,False
10,,22609.450740703425,381.38043505993051,,,0.25026419299131891,0.00172607,2145.5409136179496,23.332233629822731,1881.8593622484482,20.503381016850472,,,,,655.064494510092,0.52341,610.57025547126091,0.459504,0.0,,0.074303173894503485,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.3
",19758.3057682,,,,False
11,,34531.374363432406,450.47082320205465,,,0.35359911897823892,0.00191646,2222.6178421238292,18.650256171226502,1963.6793012609965,16.475362395644186,,,,,655.84040363347981,0.385821,609.83140931953005,0.341845,0.0,,0.076786097596930808,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.4
",29522.207261,,,,False
12,,41861.908720224295,551.15596023851936,,,0.4071780454455397,0.00226713,2296.3844568064496,19.412934958040715,2000.8878337833389,16.845319782793521,,,,,655.4987144920774,0.377143,605.32491428219839,0.325909,0.0,,0.084809427068036791,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.5
",35287.1291361,,,,False
13,,42221.401136273962,550.85257618331104,,,0.40726007328719344,0.00225119,2270.5749694215419,19.052197103798388,2040.5988125769209,16.981858185231687,,,,,655.16285788116704,0.368607,608.45101298376414,0.332855,0.0,,0.084355537339776895,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.6
",35429.6574016,,,,False
14,,37057.248533013102,521.92574979655251,,,0.36217455434347445,0.00215102,2235.5864664441528,20.29577596306801,2045.485631226851,18.372371050715447,,,,,656.12716455789518,0.395717,608.95316692198946,0.366441,0.0,,0.081783076427243598,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.7
",31229.5308264,,,,False
15,,31268.065529059881,482.5732274176064,,,0.32528518462421724,0.00207782,2167.9827967620945,21.693308461904525,1981.5889300759743,19.542901572883128,,,,,654.73641651531045,0.450677,607.79259739292172,0.414842,0.0,,0.084406537411698554,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.8
",26868.6530642,,,,False
16,,24776.903091409189,476.3599569087167,,,0.25696181980517907,0.00204633,2180.1639107860037,27.137839107513429,1976.6143581248864,24.311257440447807,,,,,655.16420345433028,0.561825,607.63144298836403,0.512084,0.0,,0.082712097674247032,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.9
",21279.6802232,,,,False
17,,15535.76989355791,493.3582438920302,,,0.15839081656158888,0.00209436,2164.9215067549399,44.646065762043001,2024.8520526808443,40.91675899207592,,,,,657.05146429629463,0.893668,606.18173137533654,0.847644,0.0,,0.082644914223230337,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1
",13287.6450917,,,,False
18,,10265.173299494765,530.70196190854449,,,0.10093730329261501,0.00219419,2308.7523659213716,76.520362193584447,1968.6563120143935,65.345385006666177,,,,,653.18092514366401,1.53855,607.88265439860731,1.29327,0.0,,0.084399944514056122,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1.1
",8660.56709478,,,,False
