FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0
",179.431143757,,,,False
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5
",127.056664908,,,,False
3,,19.363332589397238,134.17514056818524,,,0.00086477991205042822,0.00255496,373.88923387407874,1120.1785817527771,2676.4813499869792,14735.432455444336,,,,,590.78045903149007,49.7519,540.91123062662132,525.778,0.0,,0.069348612644531502,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1
",14.7717398512,,,,False
4,,363.01241175389447,10754.542518380957,,,0.0015454554903160361,0.00154574,821.37836620391568,868.77306604385376,12780.69237159568,378181.19592773437,,,,,632.83346030647829,33.1059,543.59953241648248,3432.14,0.0,,0.069360071334491069,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"1.5
",75.1375781511,,,,False
5,,163.70571422742609,82.024093575051552,,,0.0093991013692561812,0.00257957,554.76706270309023,161.87990557193757,1403.1351557925268,422.29249514579772,,,,,647.51216702850263,7.08934,613.22177315400518,18.1695,0.0,,0.067673933852737941,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"2
",159.370393682,,,,False
6,,13053.007714249605,99.269221134972568,,,0.5815661517437678,0.00236502,978.87563673222155,4.450177632942796,1024.7469220159942,4.6546166836470366,,,,,635.56175523334457,0.186894,606.12295819757185,0.195662,0.0,,0.07109618176371893,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"2.5
",12998.5291315,,,,False
7,,38385.204766321229,119.40905646095453,,,1.651059537776874,0.00273493,1002.1379002693374,1.8655963350087403,1036.8270266054401,1.9307326775416731,,,,,632.81733051249205,0.0779347,602.15286843832916,0.0806159,0.0,,0.083656832265666531,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"3
",38199.1601748,,,,False
8,,39471.201112261195,123.52100140664221,,,1.7227176260006589,0.00287537,993.15358029716526,1.8582614334672689,1031.0565880553672,1.9306760624796153,,,,,631.6504652918851,0.0778336,599.45288715029812,0.0807824,0.0,,0.087324163140984304,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"3.5
",39294.148834,,,,False
9,,52508.937874752046,142.02350259204559,,,2.2868653347185686,0.00329301,1019.2672804204743,1.6498447385430337,1006.7861404961642,1.6302822522819043,,,,,640.75466887761479,0.0689224,602.42832688645615,0.0680725,0.0,,0.10014578238151357,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"4
",52325.0344437,,,,False
