FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
0,,-39226.454738487853,4507.8761638653286,,,-0.19867782122074792,0.00405435,6166.0751324762368,682.52899126052853,1431.0457784929174,33.177852367758753,,,,,753.0756092748253,18.9777,395.73609994147995,1.26138,0.0,,0.25928239536395931,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0
",-18375.3962107,,,,False
1,,23559.715131534296,564.90341073057073,,,0.40517844271787939,0.00511844,1788.257426848588,25.850146806836129,1453.2031673549993,20.876532952487469,,,,,654.01348281979926,1.05677,602.0377111006585,0.851336,0.0,,0.24344522538592553,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.1
",22650.3240498,,,,False
2,,21727.873332613795,551.88524501093718,,,0.3904067679088179,0.00524977,1762.5770180809584,26.936323741078375,1411.1866164661412,21.438140412569044,,,,,654.35991819259118,1.10931,602.9230124994981,0.881103,0.0,,0.24483325367713241,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.2
",20968.3465104,,,,False
3,,20962.952126489217,544.83704434954007,,,0.37960298427338862,0.00522678,1722.8212849792469,26.853613100051881,1432.5680629233129,22.329822882413865,,,,,656.01337193354254,1.10894,602.92549721697355,0.917445,0.0,,0.24317058785276116,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.3
",20288.190069,,,,False
4,,-38402.42654425525,4391.4827409816171,,,-0.19740079564119981,0.00402559,6143.832799802648,676.47673519134526,1415.1518690459939,32.810834523439411,,,,,753.12253035586468,18.8732,398.57715615123072,1.24886,0.0,,0.25638663121118649,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.4
",-18055.0408441,,,,False
5,,21043.318843333054,544.61545892121001,,,0.3894361368351571,0.00535097,1723.9848325474552,26.785553231835365,1400.8034918303304,21.683752727508544,,,,,653.95519809938571,1.10863,603.27301947618093,0.895028,0.0,,0.24634762044298522,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.5
",20373.646842,,,,False
6,,22308.701497850325,553.62275917637976,,,0.4014690914047252,0.00527554,1744.8925406084472,26.022081516981125,1423.2662807436484,21.14760650396347,,,,,654.22412451573871,1.07257,603.69348085133595,0.86899,0.0,,0.24592090863550353,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.6
",21541.3853866,,,,False
7,,21112.112045568458,555.87641230725114,,,0.36360932993732248,0.00504617,1760.6170324901848,27.855275323390959,1473.8878334950064,23.320165899395942,,,,,655.91992545686969,1.14119,603.28278840476673,0.94996,0.0,,0.2400175902484056,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.7
",20328.8946493,,,,False
8,,21283.660459278828,546.80964685616573,,,0.3841044351011631,0.00522643,1730.8663061962748,26.693779106140138,1430.7578765041621,22.029246064424516,,,,,654.74148495361817,1.10126,603.56227391838729,0.905096,0.0,,0.24341672550422661,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.8
",20572.835379,,,,False
9,,-40566.39635068291,4591.2876394484083,,,-0.20407328691486168,0.00403023,6209.556984709995,677.68671546936037,1430.7123376123814,32.275576379299167,,,,,757.6474272831714,19.4627,397.34691616985998,1.22572,0.0,,0.2582936707427842,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.9
",-18828.2041397,,,,False
10,,22272.322601117317,553.61126525279428,,,0.39506976076229772,0.00519148,1762.4654345520235,26.378660622239114,1429.5645820593154,21.259635183513165,,,,,652.64978070246173,1.08383,604.00389334041108,0.872059,0.0,,0.24343794418253534,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,1,21452.7302278,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
