FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,23781.01814361793,559.30350398585563,,,0.41034036435070259,0.00508807,1809.1860092847232,25.67216046988964,1431.6460291522351,20.146831091344357,,,,,655.35059223451162,1.04984,601.92054658583118,0.822665,0.0,,0.24155318170318549,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"10
",22855.9282653,,,,False
2,,25517.25106668385,573.83368180295702,,,0.43077961444812679,0.0050959,1794.4636324225876,24.317098465561866,1475.2878017250155,19.910499206185342,,,,,654.43872400283271,0.991997,603.92590795210606,0.80924,0.0,,0.2443108653911264,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"12
",24477.4279524,,,,False
3,,-38507.320371068359,4848.1918706610259,,,-0.18545266824017162,0.00390757,6418.7176333298066,781.93047065734868,1445.7546910047481,34.439138261675836,,,,,748.77404221607071,20.2737,397.17691042790329,1.30269,0.0,,0.25098880126349432,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"14
",-17511.4932911,,,,False
4,,22961.189934276808,550.04517521361902,,,0.41310422630651278,0.00523997,1730.0762373256882,24.859834238290787,1435.8272156491307,20.632741200327875,,,,,656.30513561087071,1.02571,603.22211141377556,0.846893,0.0,,0.24447315687231796,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"16
",22206.0446245,,,,False
5,,-44034.441867254711,4865.2117126729972,,,-0.21397709374574606,0.00396494,6371.0534999934434,680.78766546249392,1443.5991862695489,30.474378805160523,,,,,756.41840784981673,18.9508,395.92668231247632,1.15507,0.0,,0.25534179455425809,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"18
",-20026.8992778,,,,False
6,,24824.828814603043,560.5542854821482,,,0.42225820254304602,0.00501923,1805.4648557988737,24.576744972467424,1455.2975484729927,19.702165927290917,,,,,656.26937759377824,1.00344,601.57530110957669,0.8018,0.0,,0.23993187772966937,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"20
",23854.1570875,,,,False
7,,31719.146352985033,639.40643186383818,,,0.45049012746882328,0.00467697,1937.680292021864,23.745761461257935,1624.0027487521386,19.783291980922222,,,,,654.53461338399313,0.937871,603.02493322630755,0.776915,0.0,,0.24114494179707358,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"22
",29772.8472698,,,,False
8,,25192.330031939084,573.54087124683679,,,0.42458605528796917,0.00508301,1797.4288493032209,24.671690810322762,1475.3109702851875,20.152210315167903,,,,,654.23302762859214,1.00582,603.25200297307674,0.818815,0.0,,0.24388875759997281,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"24
",24164.9629879,,,,False
9,,20367.694632384915,534.8857170048251,,,0.37896129316606103,0.00528754,1705.926655000397,26.823976621627807,1408.0540803353306,22.162564544677736,,,,,657.59295939375966,1.11294,603.06877273789132,0.914543,0.0,,0.24305411729311655,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"26
",19766.5097066,,,,False
10,,22636.74035590142,540.27808468852947,,,0.41685819051181811,0.00527967,1713.5969686987773,24.518870106339456,1416.2813438469796,20.253588385283948,,,,,655.73366922342075,1.01499,602.93333904433462,0.834593,0.0,,0.24376256343301234,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"28
",21936.6003128,,,,False
11,,12894.014450938223,3693.83779075447,,,0.2104798520905212,0.0107481,7062.7374253427724,1965.7033325958253,387.64771760799704,17.332881719470024,,,,,829.76297737953837,83.9062,242.07657677290004,0.720892,0.0,,0.25899146907925458,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,30,4628.90052537,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
