FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
0,,16865.925789324123,952.5161503001068,,,0.11841315774360867,0.00289037,2824.0800206152567,100.72391590118409,2254.0621851718597,81.944791796207426,,,,,661.31994993103706,3.18582,591.79755708914513,2.4262,0.0,,0.20396106411519024,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.3
",15633.5177226,,True,,False
1,,457087863.49267834,nan,,,21.192620215168741,nan,30407.634230056923,nan,31700.424023217336,nan,,,,,701.8123569580074,0.706259,571.11272118296245,0.741475,0.0,,0.29272635017747917,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0
",9529956.85631,,,,False
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.1
",3742.79521486,,,,False
3,,19857.775075885627,443.23999241545886,,,0.34949598194789216,0.00419872,1708.7570830581917,22.672657055854799,1486.0750453423366,19.817464007735254,,,,,656.50763190468626,0.964118,607.60583714934285,0.837809,0.0,,0.20076732508970785,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.2
",19766.9240788,,,,False
4,,18817.388911439339,498.72548369428836,,,0.30840430817553666,0.00436341,1797.9043540373993,28.399015894532205,1516.7185893575786,24.113185284733774,,,,,659.1973196660532,1.1946,601.50011728419315,1.00647,0.0,,0.21608403086416814,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.3
",18703.01018,,,,False
5,,20746.968219971379,531.2010307891253,,,0.28230649654067846,0.00375865,1994.0184433479542,30.71237647354603,1647.1656142439467,25.574086055159569,,,,,657.32873192442821,1.24704,600.04057111480608,1.02567,0.0,,0.20364487684489424,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.4
",20477.105958,,,,False
6,,20730.749310279065,596.38702886816964,,,0.24953191131115385,0.00364343,2088.6034431244466,36.430689312815666,1777.7291194955765,31.309005979299545,,,,,658.81475912175983,1.43226,600.01007372548497,1.21149,0.0,,0.20939959586861503,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.5
",20373.807549,,,,False
7,,20091.643448510513,632.22347559992591,,,0.21719777597397061,0.00338529,2242.4088276749817,43.089739590883255,1843.6478158669343,35.844315855503083,,,,,659.7241515957852,1.64261,596.88808916748519,1.33573,0.0,,0.20435672289451884,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.6
",19592.0716341,,,,False
8,,19615.530894991643,737.01400966858034,,,0.17913364495034415,0.00316809,2403.1219023449676,55.831877517700192,2036.4782280735046,48.156293492317197,,,,,664.26862914764399,1.98927,595.40167333292879,1.65946,0.0,,0.20601536852583688,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.7
",18928.1875714,,,,False
9,,13297.795174974441,651.34692656500556,,,0.14263816985047262,0.00344854,2286.3296110155134,68.129544389247897,1822.3748340779885,55.476691428422932,,,,,669.32989096212543,2.59408,588.6965193057664,2.04876,0.0,,0.20911691391621706,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.8
",12990.3031352,,,,False
